Year,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
2022,ARI,2407,5351,6027,1232,773,262,24,173,702,658,531,14,1341,60,50,31,97,104,29,0.23
2022,MIA,2384,5395,5949,1241,829,248,20,144,586,554,436,6,1429,70,36,4,120,122,29,0.23
2022,SEA,2383,5375,6117,1236,791,229,19,197,690,663,596,17,1397,89,45,9,120,83,27,0.23
2022,PIT,2340,5331,5912,1186,778,221,29,158,591,555,476,14,1497,54,32,19,96,89,32,0.222
2022,OAK,2394,5314,5863,1147,746,249,15,137,568,537,433,7,1389,59,33,22,109,78,23,0.216
2021,HOU,2319,5593,6291,1496,962,299,14,221,863,834,569,25,1222,64,54,9,136,53,16,0.267
2021,TOR,2383,5476,6070,1455,895,285,13,262,846,816,496,14,1218,51,35,10,112,81,20,0.266
2021,BOS,2353,5495,6122,1434,862,330,23,219,829,783,512,22,1386,61,42,10,100,40,21,0.261
2021,WSN,2386,5385,6113,1388,914,272,20,182,724,686,573,43,1303,84,31,38,158,56,26,0.258
2021,CHW,2292,5357,6084,1373,886,275,22,190,796,757,586,10,1389,78,39,24,139,57,20,0.256
2021,CIN,2472,5423,6162,1352,822,295,13,222,786,756,553,22,1425,105,45,35,129,36,24,0.249
2021,SFG,2597,5462,6196,1360,823,271,25,241,804,768,602,45,1461,64,30,36,117,66,14,0.249
2021,COL,2344,5374,6007,1338,847,275,34,182,739,709,491,24,1356,58,36,48,98,76,23,0.249
2021,KCR,2368,5427,5993,1349,906,251,29,163,686,647,421,8,1258,55,52,31,100,124,33,0.249
2021,LAA,2325,5437,6016,1331,853,265,23,190,723,691,464,35,1394,59,25,30,107,79,26,0.245
2021,LAD,2459,5445,6239,1330,822,247,24,237,830,799,613,36,1408,104,45,32,96,65,17,0.244
2021,ATL,2392,5363,6056,1307,779,269,20,239,790,762,549,36,1453,67,43,32,81,59,19,0.244
2021,STL,2384,5351,6001,1303,822,261,22,198,706,678,478,32,1341,86,44,40,99,89,22,0.244
2021,TBR,2389,5507,6213,1336,790,288,36,222,857,810,585,27,1542,72,41,6,75,88,42,0.243
2021,SDP,2497,5384,6119,1305,831,273,21,180,729,695,586,42,1324,61,46,36,121,110,39,0.242
2021,DET,2341,5376,5979,1299,847,236,37,179,697,675,490,8,1514,44,50,17,113,88,25,0.242
2021,MIN,2356,5431,6078,1311,795,271,17,228,729,690,525,17,1405,70,42,7,122,54,15,0.241
2021,PHI,2394,5366,6089,1288,804,262,24,198,734,700,564,37,1402,67,43,47,103,77,19,0.24
2021,BAL,2376,5420,5983,1296,820,266,15,195,659,632,451,12,1454,65,31,14,105,54,23,0.239
2021,NYM,2419,5210,5856,1243,821,228,18,176,636,604,495,25,1392,94,23,34,123,54,26,0.239
2021,OAK,2353,5395,6104,1284,795,271,19,199,743,698,545,17,1349,98,49,17,99,88,20,0.238
2021,CLE,2300,5332,5907,1269,796,248,22,203,717,686,453,18,1387,64,36,20,105,109,17,0.238
2021,NYY,2354,5331,6060,1266,819,213,12,222,711,666,621,14,1482,63,34,10,154,63,18,0.237
2021,CHC,2475,5306,5972,1255,794,225,26,210,705,672,502,17,1596,92,30,40,133,86,37,0.237
2021,PIT,2393,5336,5983,1261,862,240,35,124,609,570,529,24,1328,49,37,31,102,60,30,0.236
2021,ARI,2449,5489,6144,1297,814,308,31,144,679,644,537,24,1465,54,28,32,99,43,16,0.236
2021,MIL,2403,5362,6099,1251,784,255,18,194,738,700,586,26,1465,88,35,25,102,82,21,0.233
2021,MIA,2436,5348,5928,1244,837,226,23,158,623,594,450,25,1553,65,30,30,95,106,29,0.233
2021,TEX,2252,5405,5943,1254,838,225,24,167,625,598,433,10,1381,58,31,16,113,106,29,0.232
2021,SEA,2360,5355,6010,1209,766,233,11,199,697,673,535,8,1492,72,36,9,92,64,24,0.226
2020,NYM,902,2023,2279,551,352,106,7,86,286,278,197,8,498,45,13,1,53,20,10,0.272
2020,ATL,900,2074,2344,556,320,130,3,103,348,338,239,13,573,23,7,1,39,23,4,0.268
2020,BOS,884,2083,2304,552,346,118,7,81,292,278,187,8,545,21,9,4,51,31,9,0.265
2020,WSN,870,1968,2218,519,329,112,12,66,293,279,192,16,451,32,21,5,42,33,12,0.264
2020,SFG,974,2019,2259,532,330,107,14,81,299,290,195,8,499,27,13,4,51,19,8,0.263
2020,CHW,889,2047,2267,534,338,94,6,96,306,294,179,1,571,24,13,1,44,20,8,0.261
2020,BAL,906,2026,2242,523,337,102,7,77,274,264,164,5,514,27,10,15,32,19,14,0.258
2020,COL,888,2057,2257,528,365,84,16,63,275,264,161,12,543,10,19,7,41,42,9,0.257
2020,PHI,875,1948,2223,500,318,90,10,82,306,289,229,16,480,28,10,8,40,35,8,0.257
2020,SDP,913,1972,2231,506,296,103,12,95,325,312,204,6,479,28,14,12,37,55,13,0.257
2020,LAD,921,2042,2316,523,302,97,6,118,349,327,228,7,471,30,12,3,46,29,8,0.256
2020,TOR,910,2023,2263,516,320,104,4,88,302,288,203,4,508,12,14,8,39,33,6,0.255
2020,LAA,890,2020,2308,501,311,97,8,85,294,285,239,8,490,25,18,6,49,21,8,0.248
2020,NYY,878,1915,2210,473,285,87,7,94,315,301,251,5,480,30,11,1,51,27,7,0.247
2020,DET,882,1893,2076,463,311,78,12,62,249,242,147,1,567,19,14,1,42,19,6,0.245
2020,KCR,940,1988,2200,485,313,97,7,68,248,237,172,3,527,18,10,8,28,49,20,0.244
2020,MIA,904,1935,2167,472,325,82,5,60,263,247,191,6,537,25,9,6,37,51,14,0.244
2020,MIN,882,1937,2168,468,293,81,3,91,269,258,186,9,528,29,14,2,38,14,7,0.242
2020,ARI,862,1997,2238,482,311,101,12,58,269,255,181,5,461,36,23,1,37,23,7,0.241
2020,HOU,860,1992,2229,478,294,103,12,69,279,268,192,5,440,23,13,6,39,22,11,0.24
2020,TBR,946,1975,2261,470,273,105,12,80,289,274,243,9,608,28,14,0,38,48,9,0.238
2020,STL,827,1752,2011,410,279,73,7,51,240,231,205,3,477,33,16,4,38,18,10,0.234
2020,CLE,869,1959,2247,446,286,96,5,59,248,234,239,4,517,24,16,7,40,25,10,0.228
2020,SEA,843,1929,2181,435,282,88,5,60,254,244,207,5,545,30,12,3,35,50,16,0.226
2020,OAK,865,1908,2201,430,257,91,11,71,274,264,238,5,524,39,14,2,44,26,3,0.225
2020,MIL,906,1920,2188,429,266,83,5,75,247,238,221,8,582,35,10,0,53,15,11,0.223
2020,CHC,908,1918,2214,422,258,82,8,74,265,248,229,9,568,52,13,1,42,24,10,0.22
2020,PIT,873,1932,2134,425,284,76,6,59,219,210,167,6,521,11,15,7,34,16,11,0.22
2020,TEX,865,1936,2147,420,269,80,9,62,224,204,167,3,548,24,18,2,33,49,14,0.217
2020,CIN,889,1842,2123,390,221,76,3,90,243,237,239,4,534,33,7,0,44,29,9,0.212
2019,HOU,2309,5613,6394,1538,899,323,28,288,920,891,645,17,1166,66,57,10,146,67,27,0.274
2019,MIN,2320,5732,6392,1547,899,318,23,307,939,906,525,21,1334,81,41,10,101,28,21,0.27
2019,BOS,2455,5770,6475,1554,937,345,27,245,901,857,590,36,1382,49,44,20,127,68,30,0.269
2019,NYY,2312,5583,6245,1493,880,290,17,306,943,904,569,18,1437,49,33,10,113,55,22,0.267
2019,COL,2452,5660,6288,1502,914,323,41,224,835,803,489,25,1503,43,43,51,111,71,31,0.265
2019,WSN,2327,5512,6267,1460,904,298,27,231,873,824,584,33,1308,81,42,48,117,116,29,0.265
2019,PIT,2441,5657,6228,1497,981,315,38,163,758,722,425,41,1213,63,34,47,119,64,29,0.265
2019,CHW,2311,5529,6042,1443,981,260,20,182,708,676,378,13,1549,66,32,36,114,63,28,0.261
2019,ATL,2411,5560,6302,1432,877,277,29,249,855,824,619,39,1467,60,35,25,104,89,28,0.258
2019,LAD,2413,5493,6281,1414,813,302,20,279,886,861,607,47,1356,81,45,55,100,57,10,0.257
2019,NYM,2445,5624,6290,1445,906,280,17,242,791,767,516,34,1384,95,27,28,129,56,27,0.257
2019,TBR,2459,5628,6285,1427,890,291,29,217,769,730,542,20,1493,73,34,8,114,94,37,0.254
2019,CHC,2429,5461,6195,1378,826,270,26,256,814,783,581,33,1460,83,39,30,127,45,24,0.252
2019,ARI,2418,5633,6315,1419,871,288,40,220,813,778,540,36,1360,70,40,31,120,88,14,0.252
2019,CLE,2321,5425,6124,1354,827,286,18,223,769,731,563,30,1332,50,46,40,110,103,35,0.25
2019,OAK,2363,5561,6269,1384,812,292,23,257,845,800,578,17,1338,87,36,7,140,49,21,0.249
2019,TEX,2273,5540,6204,1374,831,296,24,223,810,765,534,18,1578,67,44,17,98,131,38,0.248
2019,LAA,2425,5542,6251,1368,859,268,21,220,769,734,586,29,1276,67,42,4,143,65,20,0.247
2019,KCR,2269,5496,6080,1356,873,281,40,162,691,655,456,17,1405,59,42,24,113,117,39,0.247
2019,MIL,2514,5542,6309,1366,820,279,17,250,769,744,629,42,1563,72,38,20,120,101,25,0.246
2019,BAL,2386,5596,6189,1379,889,252,25,213,729,698,462,8,1435,71,37,22,111,84,30,0.246
2019,PHI,2431,5571,6261,1369,817,311,26,215,774,742,562,47,1453,57,34,34,97,78,18,0.246
2019,STL,2413,5449,6167,1336,856,246,24,210,764,714,561,15,1420,76,39,40,110,116,29,0.245
2019,CIN,2462,5450,6100,1328,839,235,27,227,701,679,492,25,1436,89,33,30,111,80,38,0.244
2019,MIA,2402,5512,6045,1326,897,265,18,146,615,593,395,16,1469,73,33,31,139,55,30,0.241
2019,DET,2316,5549,6039,1333,851,292,41,149,582,556,391,14,1595,48,42,9,108,57,20,0.24
2019,SFG,2493,5579,6170,1332,839,300,26,167,678,655,475,26,1435,50,42,24,111,47,28,0.239
2019,SDP,2413,5391,6019,1281,814,224,24,219,682,652,504,19,1581,55,31,37,120,70,37,0.238
2019,SEA,2347,5500,6199,1305,784,254,28,239,758,730,588,7,1581,58,37,14,83,115,47,0.237
2019,TOR,2354,5493,6091,1299,761,270,21,247,726,697,509,10,1514,45,28,14,107,51,20,0.236
2018,BOS,2345,5623,6302,1509,915,355,31,208,876,829,569,38,1253,55,48,7,130,125,31,0.268
2018,CLE,2413,5595,6300,1447,915,297,19,216,818,786,554,32,1189,80,44,25,98,135,36,0.259
2018,TBR,2371,5475,6195,1415,948,274,43,150,716,664,540,17,1388,101,50,28,122,128,51,0.258
2018,CHC,2490,5624,6369,1453,966,286,34,167,761,722,576,67,1388,78,46,40,107,66,38,0.258
2018,ATL,2377,5582,6251,1433,915,314,29,175,759,717,511,53,1290,66,43,49,99,90,36,0.257
2018,COL,2368,5541,6178,1418,886,280,42,210,780,748,507,38,1397,51,37,42,114,95,33,0.256
2018,HOU,2348,5453,6146,1390,889,278,18,205,797,763,565,19,1197,61,45,14,156,71,26,0.255
2018,SEA,2373,5513,6087,1402,938,256,32,176,677,644,430,17,1221,70,41,29,128,79,37,0.254
2018,WSN,2441,5517,6288,1402,902,284,25,191,771,737,631,56,1289,59,40,41,104,119,33,0.254
2018,CIN,2402,5532,6240,1404,956,251,25,172,696,665,559,35,1376,65,35,49,128,77,33,0.254
2018,PIT,2293,5447,6066,1381,896,290,38,157,692,665,474,38,1229,59,52,31,121,70,38,0.254
2018,MIL,2496,5542,6210,1398,904,252,24,218,754,711,537,32,1458,58,41,29,128,124,32,0.252
2018,OAK,2403,5579,6255,1407,838,322,20,227,813,778,550,18,1381,76,44,6,136,35,21,0.252
2018,LAD,2574,5572,6358,1394,830,296,33,235,804,756,647,47,1436,61,39,39,119,75,24,0.25
2018,MIN,2351,5526,6154,1379,874,317,22,166,738,704,534,25,1328,37,38,19,89,47,27,0.25
2018,NYY,2269,5515,6271,1374,815,269,23,267,851,821,625,21,1421,62,59,10,107,63,21,0.249
2018,STL,2464,5498,6200,1369,907,248,9,205,759,725,525,40,1380,80,48,46,92,63,32,0.249
2018,KCR,2184,5505,6063,1350,883,283,29,155,638,606,427,13,1310,67,40,24,123,117,38,0.245
2018,TOR,2435,5477,6076,1336,783,320,16,217,709,680,499,15,1387,58,37,5,118,47,30,0.244
2018,LAA,2467,5472,6108,1323,837,249,23,214,721,690,514,38,1300,73,39,7,111,89,22,0.242
2018,DET,2323,5494,6029,1326,872,284,35,135,630,597,428,18,1341,52,40,15,110,70,30,0.241
2018,CHW,2348,5523,6071,1332,851,259,40,182,656,639,425,18,1594,66,32,24,99,98,41,0.241
2018,TEX,2300,5453,6163,1308,824,266,24,194,737,696,555,16,1484,88,34,33,104,74,35,0.24
2018,BAL,2313,5507,6034,1317,872,242,15,188,622,593,422,19,1412,57,35,13,132,81,22,0.239
2018,SFG,2412,5541,6113,1324,906,255,30,133,603,573,448,40,1467,49,42,33,113,77,34,0.239
2018,MIA,2434,5488,6083,1303,929,222,24,128,589,554,455,26,1384,73,31,32,119,45,31,0.237
2018,ARI,2409,5460,6157,1283,798,259,50,176,693,658,560,36,1460,52,45,38,110,79,25,0.235
2018,SDP,2380,5486,6059,1289,847,250,30,162,617,583,471,28,1523,31,36,35,122,95,36,0.235
2018,NYM,2333,5468,6177,1282,813,265,34,170,676,649,566,36,1404,73,42,28,116,71,39,0.234
2018,PHI,2474,5424,6136,1270,813,241,30,186,677,653,582,33,1520,64,32,32,102,69,26,0.234
2017,HOU,2313,5611,6271,1581,977,346,20,238,896,854,509,27,1087,70,61,11,139,98,,
2017,COL,2374,5534,6201,1510,987,293,38,192,824,793,519,46,1408,44,41,62,143,59,,
2017,MIA,2399,5602,6248,1497,1001,271,31,194,778,743,486,48,1282,67,41,50,119,91,,
2017,WSN,2322,5553,6214,1477,920,311,31,215,819,796,542,56,1327,31,45,43,116,108,,
2017,CLE,2367,5511,6234,1449,875,333,29,212,818,780,604,30,1153,50,45,23,125,88,,
2017,ATL,2374,5584,6216,1467,987,289,26,165,732,706,474,57,1184,66,32,59,137,77,,
2017,NYY,2294,5594,6354,1463,933,266,23,241,858,821,616,22,1386,64,56,18,119,90,,
2017,BAL,2351,5650,6140,1469,956,269,12,232,743,713,392,12,1412,50,37,10,138,32,,
2017,MIN,2324,5557,6261,1444,921,286,31,206,815,781,593,26,1342,46,39,26,105,95,,
2017,KCR,2342,5536,6027,1436,959,260,24,193,702,660,390,19,1166,45,37,17,160,91,,
2017,SEA,2323,5551,6166,1436,938,281,17,200,750,714,487,31,1267,78,35,14,131,89,,
2017,DET,2336,5556,6150,1435,924,289,35,187,735,699,503,21,1313,52,27,11,128,65,,
2017,BOS,2334,5669,6338,1461,972,302,19,168,785,735,571,48,1224,53,36,9,141,106,,
2017,STL,2416,5470,6219,1402,894,284,28,196,761,728,593,36,1348,65,44,47,139,81,,
2017,CHW,2289,5513,6059,1412,933,256,37,186,706,670,401,17,1397,76,33,35,124,71,,
2017,CHC,2420,5496,6283,1402,876,274,29,223,822,785,622,54,1401,82,32,48,134,62,,
2017,ARI,2360,5525,6224,1405,832,314,39,220,812,776,578,44,1456,54,27,39,106,103,,
2017,CIN,2321,5484,6213,1390,884,249,38,219,753,715,565,41,1329,72,42,50,116,120,,
2017,NYM,2396,5510,6169,1379,841,286,28,224,735,713,529,31,1291,57,37,36,118,58,,
2017,PHI,2308,5535,6133,1382,885,287,36,174,690,654,494,25,1417,47,36,21,128,59,,
2017,MIL,2423,5467,6135,1363,850,267,22,224,732,695,547,34,1571,53,26,42,116,128,,
2017,LAD,2464,5408,6191,1347,794,312,20,221,770,730,649,41,1380,64,38,31,119,77,,
2017,SFG,2372,5551,6137,1382,936,290,28,128,639,612,467,37,1204,36,52,31,136,76,,
2017,OAK,2350,5464,6126,1344,790,305,15,234,739,708,565,15,1491,43,40,13,129,57,,
2017,TBR,2345,5478,6147,1340,854,226,32,228,694,671,545,33,1538,55,48,16,115,88,,
2017,TEX,2268,5430,6122,1326,813,255,21,237,799,756,544,18,1493,81,39,27,110,113,,
2017,PIT,2371,5458,6136,1331,895,249,36,151,668,635,519,39,1213,88,28,42,120,67,,
2017,LAA,2392,5415,6073,1314,863,251,14,186,710,678,523,30,1198,70,46,17,141,136,,
2017,TOR,2455,5499,6154,1320,824,269,5,222,693,661,542,12,1327,51,35,25,153,53,,
2017,SDP,2342,5356,5954,1251,804,227,31,189,604,576,460,20,1499,53,33,52,99,89,,
2012,TEX,2236,5590,6216,1526,991,303,32,200,808,780,478,44,1103,57,53,36,121,91,44,0.273
2012,NYY,2367,5524,6231,1462,924,280,13,245,804,774,565,31,1176,62,49,31,136,93,27,0.265
2012,MIL,2415,5557,6224,1442,901,300,39,202,776,741,466,35,1240,90,35,76,111,158,39,0.259
2012,LAA,2267,5536,6121,1518,1036,273,22,187,767,732,449,29,1113,47,41,47,138,134,33,0.274
2012,STL,2391,5622,6326,1526,1040,290,37,159,765,732,533,45,1192,53,49,69,135,91,37,0.271
2012,COL,2429,5577,6183,1526,1002,306,52,166,758,716,450,34,1213,36,39,74,132,100,40,0.274
2012,CHW,2277,5518,6111,1409,941,228,29,211,748,726,461,24,1203,65,36,31,113,109,43,0.255
2012,BOS,2317,5604,6166,1459,939,339,16,165,734,695,428,27,1197,45,55,34,105,97,31,0.26
2012,ARI,2213,5462,6150,1416,911,307,33,165,734,710,539,47,1266,41,45,61,108,93,51,0.259
2012,WSN,2338,5615,6221,1468,948,301,25,194,731,688,479,43,1325,41,36,50,111,105,35,0.261
2012,DET,2248,5476,6119,1467,986,279,39,163,726,698,511,46,1103,57,39,36,156,59,23,0.268
2012,SFG,2384,5558,6200,1495,1048,287,57,103,718,675,483,44,1097,29,61,69,115,118,39,0.269
2012,TOR,2289,5487,6094,1346,879,247,22,198,716,677,473,29,1251,55,45,33,109,123,41,0.245
2012,OAK,2247,5527,6183,1315,821,267,32,195,713,676,550,29,1387,45,34,27,97,122,32,0.238
2012,BAL,2282,5560,6160,1375,875,270,16,214,712,677,480,24,1315,50,30,38,152,58,29,0.247
2012,MIN,2271,5562,6209,1448,1017,270,30,131,701,666,505,28,1069,53,56,33,149,135,37,0.26
2012,ATL,2264,5425,6126,1341,899,263,30,149,700,660,567,37,1289,34,46,53,109,101,32,0.247
2012,TBR,2406,5398,6105,1293,838,250,30,175,697,665,571,26,1323,58,42,34,133,134,44,0.24
2012,PHI,2294,5544,6172,1414,957,271,28,158,684,659,454,41,1094,63,39,72,115,116,23,0.255
2012,KCR,2249,5636,6149,1492,1029,295,37,131,676,643,404,35,1032,42,41,26,130,132,38,0.265
2012,CIN,2211,5477,6115,1377,879,296,30,172,669,636,481,54,1266,47,37,73,100,87,27,0.251
2012,CLE,2339,5525,6195,1385,959,266,24,136,667,635,555,28,1087,59,39,17,142,110,44,0.251
2012,SDP,2384,5422,6112,1339,903,272,43,121,651,610,539,36,1238,54,34,63,100,155,46,0.247
2012,PIT,2360,5412,6014,1313,865,241,37,170,651,620,444,32,1354,51,45,62,98,73,52,0.243
2012,NYM,2420,5450,6091,1357,911,286,21,139,650,625,503,43,1250,42,30,64,118,79,38,0.249
2012,LAD,2356,5438,6091,1369,961,269,23,116,637,607,481,49,1156,52,38,82,139,104,44,0.252
2012,SEA,2236,5494,6057,1285,868,241,27,149,619,584,466,21,1259,30,35,32,95,104,35,0.234
2012,CHC,2341,5411,5967,1297,859,265,36,137,613,570,447,29,1235,43,24,42,125,94,45,0.24
2012,MIA,2269,5437,6057,1327,890,261,39,137,609,576,484,46,1228,35,40,60,114,149,41,0.244
2012,HOU,2421,5407,6014,1276,864,238,28,146,583,545,463,19,1365,58,30,54,114,105,46,0.236
2013,BOS,2264,5651,6382,1566,996,363,29,178,853,819,581,51,1308,72,50,24,137,123,19,0.277
2013,DET,2274,5735,6388,1625,1134,292,23,176,796,767,531,40,1073,43,47,32,147,35,20,0.283
2013,STL,2341,5557,6202,1494,1027,322,20,125,783,745,481,38,1110,64,44,56,155,45,22,0.269
2013,OAK,2313,5521,6209,1403,891,301,25,186,767,725,573,29,1178,45,49,21,108,74,28,0.254
2013,BAL,2246,5620,6144,1460,936,298,14,212,745,719,416,36,1125,36,45,27,105,79,29,0.26
2013,CLE,2337,5465,6165,1391,907,290,23,171,745,711,562,19,1283,51,56,31,106,117,36,0.255
2013,LAA,2311,5588,6260,1476,1003,270,39,164,733,696,523,40,1221,48,64,37,150,82,34,0.264
2013,TEX,2321,5585,6196,1465,1004,262,23,176,730,691,462,26,1067,61,42,45,125,149,46,0.262
2013,TOR,2314,5537,6152,1398,916,273,24,185,712,669,510,19,1123,38,38,29,133,112,41,0.252
2013,COL,2330,5599,6152,1511,1033,283,36,159,706,673,427,26,1204,26,35,65,111,112,32,0.27
2013,TBR,2423,5538,6242,1421,937,296,23,165,700,670,589,31,1171,36,55,24,140,73,38,0.257
2013,CIN,2286,5499,6293,1370,921,274,20,155,698,664,585,65,1245,76,46,85,129,67,35,0.249
2013,ATL,2293,5441,6133,1354,905,247,21,181,688,656,542,36,1384,55,35,58,120,64,31,0.249
2013,ARI,2349,5676,6334,1468,1005,302,31,130,685,647,519,51,1142,43,43,50,160,62,41,0.259
2013,WSN,2241,5436,6047,1365,918,259,27,161,656,621,464,35,1192,40,39,68,115,88,28,0.251
2013,NYY,2253,5449,6044,1321,906,247,24,144,650,614,466,33,1214,57,36,36,121,115,31,0.242
2013,LAD,2336,5491,6145,1447,1011,281,17,138,649,618,476,45,1146,57,48,71,130,78,28,0.264
2013,KCR,2236,5549,6093,1443,1043,254,34,112,648,620,422,38,1048,42,42,37,131,153,32,0.26
2013,MIL,2335,5474,6064,1381,943,238,43,157,640,610,407,22,1183,71,35,77,116,142,50,0.252
2013,PIT,2369,5486,6135,1346,877,273,35,161,634,603,469,41,1330,88,29,62,120,94,42,0.245
2013,SFG,2396,5552,6168,1446,1024,280,35,107,629,596,469,40,1078,39,42,66,131,67,26,0.26
2013,SEA,2237,5558,6172,1318,864,249,17,188,624,597,529,21,1353,31,28,26,122,49,23,0.237
2013,NYM,2378,5559,6207,1318,893,263,32,130,619,593,512,40,1384,51,32,53,106,114,35,0.237
2013,SDP,2359,5517,6122,1349,931,246,26,146,618,578,467,36,1309,52,34,52,100,118,34,0.245
2013,MIN,2332,5564,6212,1346,895,285,15,151,614,590,533,20,1430,52,32,29,104,52,33,0.242
2013,PHI,2310,5456,6014,1355,928,255,32,140,610,578,417,41,1205,53,31,57,132,73,29,0.248
2013,HOU,2266,5457,6020,1307,877,266,16,148,610,566,426,17,1535,52,38,46,110,110,61,0.24
2013,CHC,2294,5498,6079,1307,820,297,18,172,602,576,439,28,1230,67,30,43,120,63,32,0.238
2013,CHW,2279,5563,6077,1385,981,237,19,148,598,574,411,23,1207,34,48,19,124,105,42,0.249
2013,MIA,2244,5449,6021,1257,912,219,31,95,513,485,432,31,1232,56,26,57,131,78,29,0.231
2014,LAA,2468,5652,6284,1464,974,304,31,155,773,729,492,42,1266,60,54,26,112,81,39,0.259
2014,DET,2330,5630,6202,1557,1051,325,26,155,757,731,443,51,1144,44,61,24,137,106,41,0.277
2014,COL,2387,5612,6164,1551,1017,307,41,186,755,721,397,39,1281,48,48,59,121,85,48,0.276
2014,OAK,2358,5545,6245,1354,922,253,33,146,729,686,586,34,1104,49,43,19,118,83,20,0.244
2014,TOR,2397,5549,6167,1435,952,282,24,177,723,690,502,27,1151,41,40,35,128,78,21,0.259
2014,LAD,2364,5560,6231,1476,1002,302,38,134,718,686,519,30,1246,61,43,47,119,138,50,0.265
2014,MIN,2292,5567,6233,1412,941,316,27,128,715,675,544,29,1329,53,44,25,97,99,36,0.254
2014,BAL,2294,5596,6130,1434,943,264,16,211,705,681,401,29,1285,62,36,35,112,44,20,0.256
2014,WSN,2265,5542,6216,1403,959,265,27,152,686,635,517,29,1304,56,41,60,115,101,23,0.253
2014,PIT,2362,5536,6224,1436,975,275,30,156,682,659,520,46,1244,78,35,54,127,104,47,0.259
2014,CLE,2391,5575,6222,1411,962,284,23,142,669,644,504,24,1189,42,49,51,126,104,27,0.253
2014,SFG,2353,5523,6087,1407,976,257,42,132,665,636,427,37,1245,43,49,45,113,56,27,0.255
2014,CHW,2285,5543,6077,1400,934,279,32,155,660,625,417,33,1362,60,38,19,127,85,36,0.253
2014,KCR,2273,5545,6058,1456,1046,286,29,95,651,604,380,22,985,53,47,33,131,153,36,0.263
2014,MIL,2327,5462,6065,1366,891,297,28,150,650,617,423,32,1197,73,37,70,137,102,43,0.25
2014,MIA,2311,5538,6185,1399,987,254,36,122,645,614,501,49,1419,35,39,71,143,58,21,0.253
2014,TEX,2264,5460,6026,1400,1001,260,28,111,637,597,417,37,1162,61,45,41,148,105,59,0.256
2014,BOS,2283,5551,6226,1355,930,282,20,123,634,601,535,36,1337,68,52,20,138,63,25,0.244
2014,SEA,2333,5450,5977,1328,913,247,32,136,634,600,396,33,1232,60,34,35,113,96,42,0.244
2014,NYY,2288,5497,6082,1349,929,247,26,147,633,591,452,16,1133,56,47,29,111,112,26,0.245
